doc,ROOT,flat,punct,det,nsubj,case,nmod,cop,advmod,mark,amod,advcl,parataxis,obl,cc,conj,obj,nsubj:pass,aux:pass,expl:pv,compound:prt,ccomp,aux,xcomp,fixed,obl:agent,acl,acl:relcl,nummod,appos,nmod:poss,dep,csubj,expl,iobj,orphan
1.female.ENFJ.Dutch.OV.txt,0.066,0.008,0.081,0.121,0.087,0.105,0.062,0.016,0.061,0.039,0.063,0.012,0.003,0.053,0.028,0.03,0.047,0.005,0.006,0.004,0.013,0.009,0.019,0.017,0.01,0.002,0.004,0.011,0.005,0.005,0.005,0.001,0.0,0.0,0.001,nan
10.male.INTJ.Dutch.A.txt,0.059,0.011,0.116,0.107,0.08,0.085,0.041,0.019,0.064,0.046,0.071,0.014,0.011,0.055,0.025,0.026,0.048,0.005,0.008,0.002,0.013,0.009,0.018,0.011,0.014,0.002,0.003,0.008,0.006,0.006,0.011,0.001,0.002,0.001,0.001,nan
100.female.ISFJ.Dutch.A.txt,0.058,0.009,0.104,0.107,0.091,0.091,0.036,0.017,0.087,0.04,0.06,0.013,0.004,0.057,0.017,0.02,0.048,0.009,0.01,0.004,0.01,0.014,0.021,0.02,0.01,0.001,0.002,0.018,0.002,0.006,0.006,0.002,0.001,0.002,0.001,nan
101.female.ESFJ.Dutch.A.txt,0.056,0.006,0.119,0.091,0.086,0.085,0.034,0.021,0.103,0.031,0.064,0.011,0.012,0.059,0.025,0.032,0.032,0.006,0.007,0.001,0.01,0.007,0.032,0.016,0.013,0.001,0.004,0.007,0.002,0.007,0.014,0.001,0.003,0.001,0.001,nan
102.female.INFJ.Dutch.A.txt,0.064,0.008,0.09,0.128,0.084,0.088,0.036,0.021,0.073,0.036,0.064,0.013,0.005,0.054,0.028,0.033,0.041,0.013,0.016,0.004,0.008,0.004,0.029,0.012,0.006,0.001,0.003,0.014,0.005,0.009,0.005,0.001,0.002,0.003,0.001,nan
103.male.INFJ.Dutch.A.txt,0.048,0.006,0.107,0.1,0.08,0.091,0.029,0.026,0.088,0.065,0.05,0.016,0.011,0.058,0.019,0.021,0.03,0.01,0.01,0.002,0.01,0.01,0.029,0.018,0.015,0.001,0.004,0.015,0.001,0.003,0.01,0.004,0.007,0.004,0.001,nan
104.male.INTJ.Dutch.A.txt,0.062,0.012,0.093,0.109,0.083,0.088,0.041,0.019,0.087,0.035,0.057,0.014,0.01,0.058,0.027,0.029,0.043,0.006,0.007,0.004,0.007,0.004,0.031,0.02,0.011,0.001,0.002,0.01,0.003,0.004,0.009,0.004,0.001,nan,0.005,nan
105.female.INFJ.Dutch.A.txt,0.05,0.002,0.094,0.113,0.079,0.075,0.028,0.018,0.106,0.042,0.049,0.012,0.007,0.052,0.026,0.032,0.035,0.012,0.015,0.006,0.011,0.01,0.029,0.021,0.021,0.001,0.001,0.016,0.007,0.007,0.006,0.003,0.005,0.007,0.004,nan
106.female.ISTJ.Dutch.A.txt,0.051,0.008,0.091,0.106,0.094,0.093,0.042,0.02,0.077,0.039,0.043,0.017,0.01,0.049,0.028,0.036,0.036,0.016,0.016,0.003,0.006,0.008,0.038,0.018,0.007,0.001,0.003,0.021,0.006,0.002,0.006,0.001,0.001,0.003,0.001,0.001
107.female.INTJ.Dutch.A.txt,0.056,0.006,0.101,0.11,0.076,0.092,0.039,0.01,0.094,0.031,0.066,0.011,0.012,0.064,0.023,0.025,0.043,0.012,0.012,0.003,0.014,0.007,0.02,0.019,0.01,nan,0.005,0.011,0.001,0.005,0.012,0.003,0.001,0.001,0.004,nan
108.male.ENTJ.Dutch.A.txt,0.05,0.007,0.073,0.123,0.081,0.098,0.047,0.015,0.074,0.047,0.061,0.019,0.001,0.058,0.017,0.016,0.051,0.012,0.016,0.003,0.007,0.01,0.032,0.018,0.01,0.001,0.004,0.017,0.008,0.008,0.007,0.001,0.003,0.001,0.003,nan
109.female.INTP.Dutch.L.txt,0.052,0.015,0.099,0.103,0.076,0.098,0.05,0.022,0.079,0.039,0.064,0.01,0.005,0.053,0.027,0.032,0.041,0.005,0.007,0.003,0.009,0.014,0.024,0.017,0.007,0.001,0.004,0.008,0.003,0.009,0.011,0.003,0.003,nan,0.007,nan
11.female.ESFP.Dutch.OV.txt,0.066,0.008,0.117,0.101,0.079,0.075,0.024,0.014,0.096,0.049,0.048,0.013,0.01,0.053,0.024,0.029,0.048,0.013,0.011,0.004,0.009,0.01,0.02,0.02,0.01,0.002,0.004,0.011,0.003,0.007,0.008,0.002,0.004,0.003,0.004,nan
110.female.ESTJ.Dutch.A.txt,0.056,0.007,0.097,0.103,0.088,0.087,0.04,0.022,0.093,0.043,0.074,0.012,0.005,0.05,0.016,0.02,0.043,0.007,0.009,0.006,0.006,0.008,0.041,0.012,0.013,0.001,0.005,0.02,0.001,0.004,0.004,0.001,0.004,0.004,0.001,nan
111.male.ENFJ.Dutch.A.txt,0.043,0.014,0.094,0.099,0.085,0.092,0.036,0.009,0.107,0.04,0.051,0.014,0.005,0.062,0.03,0.033,0.044,0.004,0.004,0.001,0.011,0.015,0.042,0.014,0.009,0.002,0.006,0.011,0.003,0.002,0.011,0.005,0.002,0.001,0.002,nan
112.male.ENFJ.Dutch.A.txt,0.04,0.01,0.085,0.127,0.069,0.105,0.055,0.016,0.092,0.041,0.064,0.018,0.006,0.053,0.024,0.025,0.034,0.004,0.002,0.002,0.008,0.008,0.025,0.024,0.014,0.001,0.005,0.011,0.002,0.006,0.015,0.004,0.001,0.001,0.004,nan
113.male.ESFP.Dutch.A.txt,0.052,0.026,0.118,0.104,0.076,0.094,0.048,0.019,0.078,0.031,0.062,0.008,0.008,0.056,0.028,0.036,0.045,0.004,0.004,0.004,0.007,0.012,0.016,0.012,0.01,0.001,0.001,0.014,0.001,0.004,0.007,0.001,0.004,0.004,0.002,nan
114.female.ENFJ.Dutch.OV.txt,0.058,0.006,0.092,0.102,0.088,0.091,0.034,0.016,0.085,0.044,0.047,0.013,0.004,0.058,0.023,0.025,0.052,0.008,0.016,0.003,0.011,0.014,0.029,0.022,0.013,0.001,0.004,0.013,0.004,0.006,0.003,0.004,0.002,0.001,0.002,nan
115.male.ENFP.Dutch.A.txt,0.055,0.01,0.095,0.102,0.071,0.094,0.045,0.015,0.094,0.035,0.07,0.011,0.005,0.064,0.031,0.032,0.042,0.009,0.01,0.003,0.01,0.006,0.022,0.017,0.02,nan,0.005,0.01,0.001,0.004,0.009,nan,0.003,0.002,nan,nan
116.female.ENFP.Dutch.A.txt,0.05,0.007,0.082,0.098,0.087,0.092,0.031,0.015,0.074,0.047,0.067,0.018,0.005,0.056,0.031,0.034,0.046,0.009,0.007,0.003,0.018,0.01,0.021,0.033,0.01,0.002,0.003,0.012,0.006,0.007,0.011,0.002,0.002,0.002,0.002,nan
117.female.INFJ.Dutch.A.txt,0.054,0.004,0.106,0.105,0.089,0.092,0.04,0.022,0.073,0.054,0.059,0.02,0.007,0.054,0.02,0.022,0.044,0.004,0.006,0.001,0.007,0.012,0.027,0.016,0.015,0.001,0.005,0.014,0.004,0.004,0.008,0.002,0.004,0.004,0.001,nan
118.female.ESFJ.Dutch.WV.txt,0.061,0.007,0.094,0.091,0.087,0.089,0.039,0.015,0.089,0.034,0.061,0.014,0.004,0.054,0.032,0.037,0.031,0.018,0.016,0.006,0.012,0.008,0.024,0.021,0.017,0.001,0.004,0.011,0.005,0.001,0.009,nan,0.004,0.002,0.001,nan
119.female.ISFJ.Dutch.B.txt,0.062,0.008,0.091,0.108,0.087,0.092,0.031,0.02,0.082,0.043,0.054,0.016,0.002,0.062,0.019,0.025,0.05,0.007,0.01,0.004,0.01,0.008,0.033,0.019,0.005,0.001,0.003,0.017,0.003,0.006,0.012,0.001,0.006,0.002,0.001,nan
12.female.ISFJ.Dutch.Other.txt,0.052,0.014,0.078,0.099,0.079,0.092,0.041,0.027,0.084,0.041,0.058,0.014,0.001,0.051,0.029,0.032,0.037,0.014,0.015,0.005,0.01,0.011,0.036,0.025,0.009,0.004,0.005,0.012,0.002,0.006,0.007,0.001,0.004,0.004,0.003,nan
120.female.ISFJ.Dutch.A.txt,0.064,0.004,0.079,0.104,0.099,0.088,0.03,0.014,0.08,0.037,0.07,0.015,0.004,0.055,0.024,0.023,0.057,0.011,0.011,0.007,0.006,0.009,0.04,0.023,0.008,0.001,0.003,0.016,0.001,0.005,0.004,0.004,0.001,nan,0.001,nan
121.female.ESFJ.Dutch.A.txt,0.049,0.021,0.094,0.11,0.075,0.098,0.045,0.014,0.075,0.037,0.066,0.017,0.003,0.059,0.029,0.032,0.031,0.008,0.01,0.005,0.008,0.007,0.029,0.019,0.019,0.002,0.002,0.014,0.001,0.007,0.004,0.002,0.004,0.002,0.002,nan
122.female.ESTJ.Dutch.A.txt,0.066,0.01,0.088,0.118,0.094,0.097,0.04,0.018,0.071,0.048,0.055,0.012,0.006,0.055,0.018,0.018,0.05,0.006,0.004,0.002,0.013,0.012,0.035,0.015,0.01,0.004,0.007,0.006,0.006,0.002,0.008,0.001,0.004,0.002,0.001,nan
123.female.ENFP.Dutch.A.txt,0.065,0.004,0.084,0.102,0.084,0.093,0.03,0.022,0.085,0.036,0.061,0.013,0.005,0.062,0.036,0.037,0.043,0.013,0.011,0.007,0.01,0.004,0.031,0.012,0.007,0.001,0.005,0.014,0.004,0.002,0.007,0.003,0.003,0.003,0.002,nan
124.female.INTJ.Dutch.OV.txt,0.069,0.007,0.102,0.138,0.079,0.108,0.045,0.018,0.057,0.038,0.077,0.012,0.005,0.061,0.021,0.022,0.037,0.009,0.008,0.003,0.006,0.007,0.019,0.013,0.011,0.001,0.004,0.008,0.001,0.003,0.004,nan,0.004,0.004,nan,nan
125.female.ISFJ.Dutch.A.txt,0.049,0.011,0.078,0.104,0.074,0.1,0.033,0.015,0.085,0.041,0.078,0.015,0.002,0.064,0.021,0.02,0.047,0.013,0.014,0.003,0.009,0.009,0.042,0.012,0.02,0.001,0.005,0.015,0.003,0.002,0.006,0.002,0.002,0.004,0.001,nan
126.female.ESFJ.Dutch.A.txt,0.048,0.01,0.094,0.115,0.079,0.098,0.037,0.009,0.082,0.038,0.072,0.01,0.008,0.067,0.027,0.029,0.04,0.012,0.01,0.003,0.004,0.01,0.023,0.012,0.012,0.001,0.007,0.013,0.004,0.004,0.014,0.002,0.003,0.001,0.003,nan
127.female.ISTJ.Dutch.OV.txt,0.037,0.01,0.13,0.109,0.062,0.087,0.044,0.014,0.068,0.049,0.08,0.014,0.005,0.052,0.022,0.027,0.036,0.011,0.012,0.002,0.01,0.011,0.032,0.015,0.018,0.004,0.008,0.012,nan,0.006,0.005,0.001,0.001,0.004,0.001,nan
128.female.ESFJ.Dutch.A.txt,0.055,0.009,0.112,0.086,0.099,0.081,0.033,0.013,0.084,0.044,0.047,0.013,0.005,0.051,0.027,0.033,0.049,0.004,0.006,0.007,0.01,0.013,0.032,0.021,0.007,0.002,0.005,0.017,0.007,0.006,0.01,0.001,0.004,0.001,0.005,nan
129.female.ENFJ.Dutch.A.txt,0.059,0.003,0.087,0.107,0.082,0.084,0.039,0.024,0.115,0.056,0.07,0.015,0.004,0.052,0.013,0.015,0.036,0.007,0.01,0.007,0.008,0.014,0.024,0.016,0.01,0.001,0.005,0.009,0.004,0.003,0.01,0.002,0.004,0.005,nan,nan
13.female.ENFJ.Dutch.A.txt,0.072,0.012,0.122,0.087,0.09,0.094,0.037,0.02,0.072,0.03,0.054,0.017,0.006,0.059,0.024,0.027,0.043,0.01,0.01,0.008,0.005,0.005,0.027,0.012,0.007,0.002,0.001,0.018,0.005,0.003,0.012,0.003,0.002,0.003,0.001,nan
130.female.ESFJ.Other.Other.txt,0.045,0.029,0.116,0.093,0.078,0.088,0.039,0.015,0.081,0.041,0.067,0.011,0.006,0.053,0.029,0.037,0.042,0.008,0.007,0.003,0.008,0.008,0.029,0.012,0.012,0.001,0.005,0.017,0.002,0.003,0.006,0.002,0.006,0.002,0.001,nan
131.female.ESTJ.Dutch.A.txt,0.068,0.017,0.095,0.104,0.085,0.093,0.047,0.019,0.071,0.031,0.074,0.01,0.001,0.046,0.027,0.034,0.049,0.007,0.008,0.005,0.007,0.007,0.028,0.016,0.015,0.001,0.002,0.015,0.004,0.008,0.004,0.001,0.001,0.001,nan,nan
132.female.ISFJ.Dutch.A.txt,0.05,0.02,0.101,0.089,0.101,0.087,0.041,0.024,0.078,0.039,0.064,0.016,0.007,0.053,0.027,0.027,0.05,0.003,0.004,0.004,0.011,0.008,0.027,0.008,0.006,0.001,0.004,0.024,0.002,0.005,0.011,0.004,0.001,0.002,0.001,nan
133.female.INFJ.Dutch.A.txt,0.049,0.006,0.121,0.089,0.091,0.081,0.026,0.015,0.067,0.064,0.049,0.016,0.011,0.058,0.025,0.027,0.046,0.006,0.005,0.004,0.013,0.017,0.037,0.019,0.013,0.001,0.006,0.013,0.004,0.004,0.011,0.001,0.001,0.002,0.004,nan
134.male.ENTJ.Dutch.A.txt,0.059,0.014,0.091,0.123,0.101,0.079,0.032,0.018,0.073,0.042,0.042,0.017,0.002,0.052,0.022,0.023,0.051,0.009,0.011,0.005,0.008,0.012,0.031,0.022,0.008,0.001,0.003,0.028,0.005,0.006,0.005,0.002,0.002,0.002,0.001,nan
135.female.ENFJ.Dutch.A.txt,0.044,0.003,0.105,0.095,0.084,0.071,0.03,0.021,0.138,0.058,0.042,0.02,0.009,0.04,0.018,0.018,0.045,0.007,0.008,0.004,0.012,0.007,0.035,0.022,0.014,0.002,0.005,0.016,0.001,0.002,0.009,0.001,0.004,0.006,0.001,nan
136.female.ESFP.Dutch.A.txt,0.058,0.011,0.104,0.099,0.092,0.087,0.045,0.015,0.089,0.042,0.053,0.02,0.004,0.053,0.014,0.019,0.052,0.011,0.013,0.004,0.006,0.014,0.026,0.01,0.015,0.003,0.001,0.017,0.003,0.003,0.013,0.001,0.001,0.001,0.001,nan
137.female.ESFJ.Other.Other.txt,0.068,0.022,0.113,0.09,0.1,0.082,0.035,0.021,0.055,0.041,0.056,0.009,0.004,0.054,0.032,0.036,0.049,0.008,0.007,0.001,0.008,0.011,0.028,0.014,0.009,0.001,0.003,0.012,0.003,0.011,0.007,0.001,0.003,0.002,0.003,nan
138.female.ESFJ.Dutch.A.txt,0.056,0.016,0.104,0.093,0.091,0.081,0.035,0.017,0.066,0.058,0.045,0.013,0.004,0.045,0.03,0.032,0.047,0.009,0.01,0.004,0.012,0.02,0.036,0.018,0.011,0.002,0.004,0.011,0.008,0.006,0.006,0.002,0.004,0.002,0.001,nan
139.male.ENTP.Dutch.A.txt,0.044,0.009,0.1,0.11,0.086,0.093,0.049,0.018,0.056,0.041,0.079,0.014,0.001,0.06,0.027,0.032,0.04,0.003,0.002,0.004,0.007,0.007,0.034,0.019,0.018,0.001,0.007,0.021,0.003,0.002,0.007,0.001,0.001,0.002,0.002,0.001
14.female.ISFJ.Dutch.OV.txt,0.053,0.009,0.091,0.122,0.092,0.087,0.035,0.014,0.102,0.043,0.056,0.016,0.005,0.059,0.015,0.017,0.041,0.008,0.005,0.008,0.009,0.01,0.028,0.023,0.014,nan,0.005,0.014,0.002,0.003,0.004,0.002,0.005,0.002,0.003,nan
140.female.ESFJ.Dutch.A.txt,0.06,0.002,0.098,0.088,0.104,0.068,0.024,0.023,0.104,0.034,0.061,0.013,0.005,0.045,0.029,0.037,0.057,0.006,0.007,0.003,0.01,0.006,0.045,0.019,0.007,0.003,0.002,0.021,0.009,0.004,0.006,nan,0.002,0.001,nan,nan
141.male.ENTJ.Dutch.A.txt,0.059,0.001,0.131,0.117,0.082,0.092,0.034,0.014,0.072,0.036,0.061,0.016,0.007,0.056,0.02,0.024,0.039,0.011,0.009,0.001,0.012,0.004,0.028,0.016,0.012,0.001,0.01,0.02,0.002,0.003,0.004,0.004,nan,0.001,0.001,0.002
142.male.INFJ.Dutch.A.txt,0.047,0.013,0.095,0.113,0.066,0.102,0.055,0.011,0.086,0.044,0.074,0.017,0.004,0.049,0.027,0.029,0.034,0.008,0.007,0.003,0.009,0.006,0.027,0.018,0.012,0.003,0.006,0.015,0.001,0.003,0.006,0.002,0.004,0.004,nan,nan
143.male.ISFP.Dutch.A.txt,0.052,0.021,0.112,0.122,0.075,0.101,0.04,0.016,0.066,0.04,0.058,0.021,0.002,0.061,0.014,0.013,0.043,0.011,0.01,0.002,0.014,0.012,0.034,0.014,0.015,0.001,0.004,0.01,0.001,0.005,0.006,0.001,0.002,0.001,0.001,nan
144.male.INTJ.Dutch.A.txt,0.049,0.005,0.069,0.12,0.07,0.107,0.05,0.012,0.117,0.049,0.074,0.014,0.002,0.058,0.006,0.007,0.042,0.007,0.01,0.003,0.008,0.008,0.019,0.018,0.021,nan,0.006,0.014,0.001,0.004,0.012,0.001,0.007,0.005,0.003,nan
145.female.ISFJ.Dutch.A.txt,0.055,0.02,0.105,0.097,0.071,0.084,0.038,0.02,0.092,0.049,0.055,0.016,0.004,0.059,0.02,0.023,0.036,0.015,0.016,0.005,0.006,0.009,0.036,0.012,0.007,0.001,0.006,0.019,0.003,0.004,0.005,0.005,0.004,0.002,0.002,nan
15.male.ENFP.Dutch.A.txt,0.05,0.022,0.086,0.094,0.082,0.087,0.04,0.014,0.079,0.04,0.055,0.015,0.008,0.062,0.035,0.036,0.043,0.007,0.007,0.003,0.012,0.009,0.017,0.021,0.031,0.001,0.004,0.012,0.003,0.006,0.016,0.001,0.001,0.001,0.001,nan
16.female.ISTJ.Dutch.OV.txt,0.061,0.018,0.093,0.103,0.085,0.083,0.039,0.016,0.082,0.046,0.059,0.018,0.003,0.043,0.035,0.038,0.052,0.005,0.005,0.003,0.012,0.004,0.025,0.02,0.005,0.002,0.002,0.017,0.003,0.005,0.011,0.001,0.001,0.001,0.003,nan
17.female.ENFJ.Dutch.A.txt,0.059,0.015,0.074,0.103,0.094,0.095,0.045,0.024,0.106,0.053,0.043,0.014,0.002,0.056,0.015,0.018,0.042,0.007,0.005,0.002,0.008,0.012,0.037,0.019,0.008,0.001,0.005,0.011,0.002,0.002,0.011,0.002,0.004,0.004,0.004,nan
18.female.ENFJ.Dutch.A.txt,0.049,0.011,0.088,0.108,0.07,0.084,0.041,0.018,0.078,0.049,0.07,0.018,0.006,0.058,0.028,0.029,0.048,0.006,0.006,0.004,0.011,0.009,0.025,0.013,0.019,0.001,0.006,0.012,0.005,0.006,0.011,0.001,0.005,0.004,0.006,nan
19.female.INFJ.Other.A.txt,0.061,0.012,0.08,0.12,0.074,0.101,0.042,0.014,0.058,0.032,0.063,0.01,0.001,0.061,0.03,0.026,0.045,0.013,0.015,0.002,0.009,0.008,0.044,0.015,0.014,0.002,0.006,0.017,0.006,0.006,0.007,0.002,0.003,0.001,0.002,0.001
2.female.ENFJ.Dutch.L.txt,0.066,0.007,0.095,0.107,0.099,0.085,0.025,0.034,0.092,0.038,0.062,0.01,0.006,0.054,0.02,0.022,0.029,0.01,0.013,0.006,0.007,0.013,0.032,0.008,0.025,0.001,0.005,0.009,0.001,0.005,0.006,0.002,0.004,0.001,0.001,nan
20.female.ISTJ.Dutch.A.txt,0.049,0.003,0.091,0.096,0.07,0.088,0.029,0.017,0.09,0.049,0.061,0.024,0.003,0.065,0.036,0.038,0.036,0.013,0.017,0.006,0.011,0.006,0.028,0.013,0.015,0.001,0.001,0.011,0.011,0.001,0.009,0.002,0.003,0.003,0.002,nan
21.female.ENTJ.Dutch.A.txt,0.063,0.008,0.12,0.098,0.085,0.085,0.027,0.014,0.081,0.058,0.051,0.017,0.006,0.064,0.02,0.02,0.043,0.011,0.01,0.001,0.008,0.013,0.03,0.008,0.011,0.001,0.007,0.015,0.003,0.005,0.007,0.002,0.004,0.002,0.004,nan
22.female.ESFJ.Dutch.A.txt,0.051,0.012,0.073,0.113,0.074,0.1,0.048,0.022,0.076,0.045,0.063,0.01,0.002,0.052,0.03,0.031,0.04,0.012,0.012,0.005,0.011,0.006,0.022,0.015,0.013,0.002,0.006,0.016,0.006,0.007,0.013,0.002,0.003,0.003,0.002,nan
23.female.ESFP.Dutch.A.txt,0.062,0.011,0.091,0.086,0.086,0.1,0.033,0.011,0.085,0.042,0.067,0.017,0.006,0.06,0.029,0.026,0.042,0.011,0.013,0.005,0.013,0.007,0.024,0.019,0.011,0.002,0.004,0.009,0.005,0.007,0.008,0.001,0.002,0.002,0.003,nan
24.female.ESFJ.Dutch.A.txt,0.058,0.005,0.083,0.094,0.1,0.083,0.034,0.022,0.123,0.05,0.058,0.008,0.007,0.056,0.015,0.015,0.041,0.005,0.006,0.003,0.012,0.018,0.028,0.015,0.015,nan,0.005,0.012,0.005,0.005,0.011,0.002,0.001,0.004,0.001,nan
25.female.ENFP.Dutch.A.txt,0.067,0.013,0.08,0.116,0.099,0.078,0.026,0.017,0.107,0.038,0.046,0.016,0.002,0.054,0.026,0.028,0.049,0.01,0.01,0.002,0.007,0.01,0.038,0.017,0.007,0.002,0.006,0.013,0.002,0.005,0.003,0.002,0.002,0.001,0.002,nan
26.male.ENFP.Dutch.A.txt,0.05,0.015,0.129,0.097,0.073,0.089,0.034,0.014,0.095,0.035,0.065,0.012,0.005,0.054,0.026,0.034,0.029,0.009,0.013,0.005,0.004,0.008,0.035,0.01,0.017,nan,0.004,0.01,0.001,0.005,0.012,0.004,0.004,0.003,0.003,nan
27.male.INTJ.Dutch.A.txt,0.052,0.011,0.087,0.102,0.075,0.093,0.03,0.014,0.084,0.05,0.053,0.014,0.006,0.068,0.029,0.028,0.039,0.014,0.019,0.002,0.014,0.008,0.023,0.019,0.012,0.002,0.007,0.02,0.005,0.007,0.009,0.002,0.002,nan,0.001,nan
28.male.INTP.Dutch.A.txt,0.039,0.007,0.083,0.115,0.074,0.101,0.053,0.012,0.073,0.05,0.063,0.017,0.006,0.056,0.027,0.031,0.046,0.011,0.011,0.002,0.014,0.011,0.026,0.015,0.018,0.002,0.002,0.016,0.001,0.002,0.006,nan,0.003,0.003,0.002,nan
29.female.ISTJ.Dutch.Other.txt,0.051,0.007,0.066,0.115,0.072,0.109,0.051,0.022,0.07,0.042,0.062,0.014,0.002,0.057,0.026,0.027,0.042,0.012,0.015,0.003,0.014,0.008,0.033,0.022,0.01,0.002,0.003,0.022,0.002,0.008,0.004,0.002,0.002,0.002,0.002,nan
3.female.ESFJ.Dutch.Other.txt,0.057,0.009,0.1,0.124,0.082,0.093,0.04,0.022,0.084,0.04,0.044,0.011,0.004,0.048,0.026,0.026,0.036,0.014,0.017,0.003,0.003,0.015,0.021,0.017,0.021,0.002,0.003,0.01,0.003,0.008,0.006,0.002,0.003,0.004,0.001,nan
30.male.ISTJ.Dutch.A.txt,0.047,0.01,0.113,0.101,0.068,0.087,0.04,0.016,0.089,0.05,0.063,0.019,0.007,0.049,0.017,0.016,0.04,0.013,0.018,0.003,0.007,0.013,0.029,0.016,0.014,0.002,0.007,0.02,0.002,0.004,0.006,0.004,0.004,0.006,nan,nan
31.male.ISFJ.Dutch.B.txt,0.042,0.005,0.119,0.116,0.074,0.097,0.043,0.018,0.069,0.047,0.052,0.021,0.006,0.06,0.026,0.031,0.043,0.006,0.01,0.004,0.006,0.009,0.023,0.011,0.011,0.002,0.006,0.014,0.001,0.006,0.015,0.001,0.001,0.001,0.001,nan
